VideoID,Title,PublishDate,Views,Likes,Comments,WatchTimeMinutes,SubscribersGained,TrafficSource,DeviceType,Country,Impressions,CTR (%),AverageViewDuration (sec),Revenue ($)
VID10000,Video Tutorial #243,2024-01-10,14089,2331,505,6040,156,Suggested Videos,Tablet,Australia,149079,2.01,662,104.66
VID10001,Video Tutorial #178,2023-01-18,2353,3267,645,16572,78,YouTube Search,Desktop,Canada,38102,7.35,317,135.14
VID10002,Video Tutorial #240,2021-12-18,47981,1033,688,13393,69,External,TV,UK,39012,2.32,552,48.38
VID10003,Video Tutorial #18,2025-02-10,39975,1333,533,16506,47,Browse Features,Tablet,India,652,11.14,755,69.38
VID10004,Video Tutorial #195,2024-11-17,18331,1841,240,8958,14,Browse Features,Tablet,USA,20240,12.0,191,34.8
VID10005,Video Tutorial #44,2021-10-26,48947,4687,588,9098,33,Browse Features,Tablet,UK,85691,7.35,646,27.92
VID10006,Video Tutorial #261,2022-07-05,22259,2139,715,14224,59,YouTube Search,Desktop,India,33467,13.63,688,116.79
VID10007,Video Tutorial #19,2022-10-15,28223,4552,515,8987,189,Notifications,TV,UK,24161,9.33,211,30.5
VID10008,Video Tutorial #25,2022-04-02,42337,4092,164,1813,1,External,Console,India,96690,8.31,879,119.1
VID10009,Video Tutorial #7,2022-03-17,25240,444,639,15399,79,External,Tablet,USA,42224,7.92,578,64.67
VID10010,Video Tutorial #153,2025-06-10,33062,4175,556,18692,18,Suggested Videos,Mobile,USA,133154,8.33,111,149.26
VID10011,Video Tutorial #58,2025-08-09,41766,1499,217,12280,48,Notifications,Tablet,Australia,116422,17.45,553,30.0
VID10012,Video Tutorial #239,2022-10-25,41833,927,746,1552,77,Suggested Videos,Mobile,India,106234,12.58,33,14.4
VID10013,Video Tutorial #7,2021-11-10,43837,623,647,7269,27,Suggested Videos,Tablet,India,35865,6.36,524,11.78
VID10014,Video Tutorial #68,2022-06-25,20241,1480,679,12410,47,External,TV,Australia,82706,13.48,584,125.39
VID10015,Video Tutorial #296,2022-04-14,2829,3038,748,12556,95,YouTube Search,TV,India,96522,6.61,80,65.95
VID10016,Video Tutorial #137,2024-10-16,18280,3386,604,2164,164,Notifications,Tablet,USA,110010,3.14,290,0.97
VID10017,Video Tutorial #60,2022-07-12,46541,3319,4,8776,176,Notifications,Tablet,Canada,54781,9.08,163,131.28
VID10018,Video Tutorial #52,2022-01-31,23455,234,667,15759,108,Notifications,Mobile,Germany,62449,13.77,628,131.6
VID10019,Video Tutorial #204,2022-08-07,12853,1618,756,11240,175,Suggested Videos,Mobile,USA,100163,7.42,391,121.06
VID10020,Video Tutorial #275,2024-11-16,49675,2692,80,17775,72,Suggested Videos,Console,UK,63574,15.78,597,37.62
VID10021,Video Tutorial #231,2023-04-07,27875,2031,246,5912,99,Notifications,Console,India,22692,7.58,246,56.23
VID10022,Video Tutorial #176,2024-04-08,13748,387,492,1232,28,Browse Features,Desktop,USA,112296,6.95,97,111.87
VID10023,Video Tutorial #205,2022-02-25,34610,1635,648,1511,187,Notifications,Console,USA,23718,17.97,893,73.66
VID10024,Video Tutorial #60,2022-10-16,15426,4134,385,9060,156,Suggested Videos,TV,Australia,51732,9.2,585,23.5
VID10025,Video Tutorial #11,2022-12-19,18168,1185,574,16218,57,Notifications,Console,Canada,146581,14.69,172,36.8
VID10026,Video Tutorial #184,2023-07-11,13167,1968,306,3584,47,Notifications,Tablet,India,9629,14.68,375,145.9
VID10027,Video Tutorial #164,2024-02-07,40033,241,627,3739,22,Browse Features,TV,Australia,122264,16.75,583,23.08
VID10028,Video Tutorial #103,2023-11-22,38006,562,624,11167,26,Notifications,TV,UK,24254,2.44,680,109.05
VID10029,Video Tutorial #65,2025-08-20,48836,2000,542,19585,6,Browse Features,Mobile,India,32982,5.61,614,71.96
VID10030,Video Tutorial #207,2021-11-24,47519,4902,6,7486,48,YouTube Search,Console,USA,45017,14.05,808,112.42
VID10031,Video Tutorial #96,2024-11-12,38099,1930,514,17955,181,Suggested Videos,Console,USA,82588,10.56,223,99.34
VID10032,Video Tutorial #103,2024-04-12,22292,4901,754,14972,108,YouTube Search,Desktop,UK,15801,10.51,696,66.16
VID10033,Video Tutorial #112,2024-05-19,994,2780,567,2532,67,Suggested Videos,Desktop,UK,68325,3.83,275,53.41
VID10034,Video Tutorial #125,2023-01-17,31745,1676,72,2401,169,Browse Features,TV,Australia,119378,5.78,343,113.28
VID10035,Video Tutorial #181,2022-07-14,1561,2516,9,19069,186,External,TV,India,3088,9.86,759,48.81
VID10036,Video Tutorial #213,2024-05-25,45536,1678,572,18577,171,Notifications,TV,USA,36019,5.71,413,118.27
VID10037,Video Tutorial #15,2023-03-09,22552,4142,561,12084,153,Browse Features,Mobile,Canada,9113,4.57,794,102.14
VID10038,Video Tutorial #87,2025-02-17,24855,3747,121,11806,150,Suggested Videos,Tablet,Germany,134746,2.49,818,86.86
VID10039,Video Tutorial #117,2023-12-25,27043,3357,686,2088,72,Suggested Videos,Mobile,Germany,7938,3.65,306,55.64
VID10040,Video Tutorial #294,2025-11-01,8419,1652,512,12279,100,External,Console,USA,31468,14.07,101,31.16
VID10041,Video Tutorial #182,2023-05-25,44938,4178,440,14372,7,Suggested Videos,Console,India,32328,13.22,158,106.71
VID10042,Video Tutorial #34,2024-03-25,46539,3842,37,17514,52,YouTube Search,Desktop,UK,46197,1.78,387,14.16
VID10043,Video Tutorial #281,2022-01-29,35433,2442,701,12970,141,External,TV,USA,145995,4.46,727,145.6
VID10044,Video Tutorial #85,2025-02-02,18047,4886,590,10725,198,YouTube Search,Console,UK,129902,10.53,554,146.82
VID10045,Video Tutorial #29,2024-07-14,15679,595,344,3380,134,Suggested Videos,TV,Germany,38433,6.48,870,19.97
VID10046,Video Tutorial #21,2025-09-27,31999,2613,337,1918,136,YouTube Search,Console,UK,4535,15.0,249,16.04
VID10047,Video Tutorial #74,2023-11-29,2890,4097,701,19914,2,Notifications,Mobile,Germany,38518,14.34,35,62.2
VID10048,Video Tutorial #18,2022-10-30,14101,1497,183,4317,77,YouTube Search,Desktop,UK,58055,16.16,780,144.57
VID10049,Video Tutorial #242,2022-04-26,27573,3556,66,11307,144,YouTube Search,Mobile,Canada,59607,10.57,653,60.35
VID10050,Video Tutorial #67,2023-07-07,1824,4862,16,16891,171,Browse Features,Desktop,Australia,51133,6.99,257,54.89
VID10051,Video Tutorial #116,2024-02-19,13312,4767,382,3597,85,Browse Features,Tablet,Germany,73072,11.3,46,105.69
VID10052,Video Tutorial #179,2025-06-07,3921,3359,367,12395,45,Notifications,Desktop,UK,102112,2.52,614,27.22
VID10053,Video Tutorial #254,2025-02-24,8323,1602,315,2423,89,Suggested Videos,Mobile,UK,47319,1.16,41,54.82
VID10054,Video Tutorial #254,2023-10-22,17279,915,496,10962,185,Notifications,Tablet,Germany,146695,1.29,627,44.05
VID10055,Video Tutorial #16,2024-05-30,27435,1845,720,3467,155,YouTube Search,Console,India,32426,7.93,528,90.43
VID10056,Video Tutorial #274,2024-08-29,42226,1996,344,8474,141,Browse Features,Console,Canada,112726,4.88,721,24.83
